AÑO,Ene.,Feb.,Mar.,Abr.,May.,Jun.,Jul.,Ago.,Sep.,Oct.,Nov.,Dic.
2007,"45,74","51,33","53,27","57,80","60,38","63,67","66,60","66,14","69,64","75,06","85,51","83,44"
2008,"80,10","80,00","95,10","88,40","109,70","117,40","129,50","107,10","93,50","63,50","41,00","31,55"
2009,"38,12","39,61","38,16","46,72","54,06","62,84","61,64","66,09","64,39","69,23","72,45","68,99"
2010,"71,12","68,26","72,38","75,15","66,71","66,74","67,26","68,91","67,96","74,32","77,10","82,89"
2011,"85,45","87,90","99,48","107,42","102,25","102,55","105,94","98,73","102,40","102,54","107,84","105,82"
2012,"108,00","111,46","116,47","114,02","105,46","90,88","95,14","101,86","103,12","100,41","96,72","97,79"
2013,"102,25","106,87","102,34","99,63","100,42","100,06","104,43","105,56","103,75","97,31","94,97","97,31"
2014,"97,18","97,96","95,99","96,74","97,28","99,11","96,14","91,74","89,27","78,94","70,17","54,03"
2015,"40,30","47,77","47,09","50,50","56,35","56,35","49,38","40,22","41,10","40,39","36,53","30,33"
2016,"24,33","24,25","29,72","31,60","36,83","39,73","37,67","37,55","38,31","42,57","38,35","44,90"
2017,"45,12","46,37","42,95","44,08","42,63","40,83","43,24","45,66","47,81","50,15","54,92",
