AÑO,Ene.,Feb.,Mar.,Abr.,May.,Jun.,Jul.,Ago.,Sep.,Oct.,Nov.,Dic.
1996,10116,10281,9983,9785,10122,10708,11818,12093,12684,14230,15375,15229
1997,15461,15807,15976,15933,16078,16655,16476,18624,18330,18312,18910,17818
1998,17131,17006,15796,14841,15950,15499,14338,13856,13006,14490,14849,14849
1999,14334,13857,13442,13968,14208,14357,14592,14561,13989,14676,15646,15379
2000,15439,15265,16125,16956,16398,17369,18071,18477,19443,20080,21160,20471
2001,21331,20687,20901,20358,20131,19992,20116,19304,19090,19554,19583,18523
2002,16922,15468,15029,15339,15351,15142,15253,15007,14826,15530,15842,14860
2003,13898,14251,15142,15652,16758,17959,18917,17737,19184,20418,21332,21366
2004,22324,22631,23262,24294,24156,23226,24011,21455,21841,22680,23907,24208
2005,24533,24773,25646,27341,28010,28790,30420,32111,30667,30526,29615,30368
2006,28729,29627,32097,31229,30472,31917,33481,35684,35088,34684,36205,37440
2007,36392,33344,32299,27175,25242,25213,26345,27901,29954,30970,32254,34286
2008,33869,33192,31946,31131,31448,34335,35421,37763,39206,40220,39218,43127
2009,30322,29795,28992,29532,29431,30750,31100,34008,33697,33456,34312,35830
2010,32185,31209,29186,28315,27863,29351,28392,29064,29768,29884,28357,30332
2011,30389,26971,26864,26913,29279,28540,29086,30725,31109,29222,27476,29892
2012,28444,27763,27590,25901,24982,28427,27209,25998,25890,25869,26491,29890
2013,28757,27311,27104,26157,25045,25804,23640,22948,23047,21732,21314,21481
2014,21639,21769,21948,20984,22526,21604,21171,21324,21349,20490,22239,22080
2015,22541,24257,20977,19029,17617,16193,16986,16393,16450,15048,14760,16370
2016,15477,13588,13257,12755,12148,12104,11951,12004,12034,10901,11763,10977
2017,10677,10442,10428,10169,10597,10007,10150,10112,99260,10167,9749,9524
